Module.Code,Module.Name,Year.Level,Programmes,Pre-requisite,Co-requisite
BTY701,Molecular Biology and Bioinformatics Practical 701,1,BScHons Biotechnology 3707,None,None
BTY702,Literature Review 702,1,BScHons Biotechnology 3707,None,None
BTY703,Research Project 703,1,BScHons Biotechnology 3707,None,None
BTY704,Advanced Plant Biotechnology 704,1,BScHons Biotechnology 3707,60% in GEO 3rd Yr,None
BTY709,Genomics 709,1,BScHons Biotechnology 3707,None,None
BTY710,Apoptosis 710,1,BScHons Biotechnology 3707,None,None
BTY711,Advanced Food Microbiology 711,1,BScHons Biotechnology 3707,None,None
BTY714,Forensic DNA Analysis 714,1,"BScHons Biotechnology 3707, BScHons Medical Bioscience 3721",None,None
BTY717,Special Topics 717,1,BScHons Biotechnology 3707,None,None
BTY718,Proteomics 718,1,BScHons Biotechnology 3707,None,None
BTY719,Biofuels 719,1,BScHons Biotechnology 3707,None,None
BTY721,Molecular Mechanisms of Cancer 721,1,BScHons Biotechnology 3707,None,None
BTY722,Next Generation Sequencing 722,1,BScHons Biotechnology 3707,None,None
CHM701,Analytical Chemistry 701,1,BScHons Chemistry 3734,None,None
CHM702,Organic Chemistry 702,1,BScHons Chemistry 3734,None,None
CHM703,Inorganic Chemistry 703,1,BScHons Chemistry 3734,None,None
CHM704,Physical Chemistry 704,1,BScHons Chemistry 3734,None,None
CHM705,Applied Chemistry 705,1,BScHons Chemistry 3734,None,None
CHM707,Research Project 707,1,BScHons Chemistry 3734,None,None
CHM708,Chemistry Advanced Specialist Topics 708,1,BScHons Chemistry 3734,None,None
CMP716,Research Project Computer Science 716,46024,PGDip Computer and Media Application 1627,BIA715 + 45 credits,None
COF710,Simulation 710,1,"BScHons Statistical Science 3737, BScHons Computational Finance 3739","STA331, STA332, MAT211, MAT221",None
COF711,Computational Finance 711,1,"BScHons Statistical Science 3737, BScHons Computational Finance 3739","STA211, STA221, MAT211, MAT221",None
COF712,Computational Finance 712,1,"BScHons Statistical Science 3737, BScHons Computational Finance 3739",STA331 or equivalent,None
COF714,Stochastic Calculus for Finance 714,1,"BScHons Mathematical Science 3736, BScHons Computational Finance 3739",None,None
COF716,Financial Engineering 716,1,"BScHons Mathematical Science 3736, BScHons Computational Finance 3739",None,None
COF726,Computational Finance 726,1,"BScHons Computational Finance 3739, BScHons Statistical Science 3737",STA331 or equivalent,None
