Module.code,Module.name,Year.Level,Programmes,Pre-requisite,Co-requisite
LSC141,Life Sciences 141,Year 1,"BSc Biodiversity 3217 ,BSc Biotechnology 3211 ,BSc Chemical Sciences 3220 ,BSc Environment and Water Science 3331 ,BSc Medical Bioscience 3230 ",None,None
LSC142,Life Sciences 142,Year 1,"BSc Biodiversity 3217 ,BSc Biotechnology 3211 ,BSc Chemical Sciences 3220 ,BSc Environment and Water Science 3331 ",None,None
MAM115,Mathematics 115 (N ,Year 1,"BSc Applied Geology 3214 ,BSc Biotechnology 3211 ,Bachelor of Pharmacy 3305 ",None,None
MAM150,Introduction to Mathematics 150,Year 1,BSc Biodiversity Extended 3015 ,None,None
MAM151,Mathematics 151 (SF ,Year 1,BSc Applied Geology Extended 3011 ,None,None
MAT105,Mathematics 105,Year 1,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",None,None
MAT211,Mathematics 211,Year 2,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",MAT105 (or equivalent ,None
MAT212,Mathematics 212,Year 2,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",MAT105 (or equivalent ,MAT211
MAT221,Mathematics 221,Year 2,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",None,MAT211
MAT232,Mathematics 232,Year 2,"BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ","APM112, MAT105 (or equivalent ",None
MAT311,Mathematics 311,Year 3,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",MAT211,None
MAT312,Mathematics 312,Year 3,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ","MAT211, MAT212/221",None
MAT321,Mathematics 321,Year 3,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",MAT221,None
MAT322,Mathematics 322,Year 3,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ","MAT211, MAT212/221",None
MBS111,Medical Biosciences 111,Year 1,BSc Medical Bioscience 3230 ,None,None
MBS121,Medical Biosciences 121,Year 1,BSc Medical Bioscience 3230 ,None,None
MBS231,Medical Biosciences 231,Year 2,BSc Medical Bioscience 3230 ,"LSC141/MBS111, MBS121",None
MBS232,Medical Biosciences 232,Year 2,BSc Medical Bioscience 3230 ,"LSC141/MBS111, MBS121",None
MBS331,Medical Biosciences 331,Year 3,BSc Medical Bioscience 3230 ,"MBS231, MBS232",None
MBS332,Medical Biosciences 332,Year 3,BSc Medical Bioscience 3230 ,"MBS231, MBS232, MBS331",None
MIC251,Medical Microbiology 251,Year 2,BSc Medical Bioscience 3230 ,LSC141,None
MIC252,Medical Microbiology 252,Year 2,BSc Medical Bioscience 3230 ,MIC251,None
MIC353,Medical Microbiology 353,Year 3,BSc Medical Bioscience 3230 ,"MIC251, MIC252",None
MIC354,Medical Microbiology 354,Year 3,BSc Medical Bioscience 3230 ,"MIC251, MIC252",None
PCE231,Pharmaceutics 231,Year 2,Bachelor of Pharmacy 3305 ,"MAM115, PHC123, PHY112",None
PCE232,Pharmaceutics 232,Year 2,Bachelor of Pharmacy 3305 ,"MAM115, PHC123, PHY112",None
PCE331,Pharmaceutics 331,Year 3,Bachelor of Pharmacy 3305 ,"PCE231, PCE232",None
PCE333,Pharmaceutics 333,Year 3,Bachelor of Pharmacy 3305 ,"PHC123, PCE231, PCE232",None
PCE401,Pharmaceutics 401,Year 4,Bachelor of Pharmacy 3305 ,"PCE331, PCE333",None
PCE431,Pharmaceutics 431,Year 4,Bachelor of Pharmacy 3305 ,"PCE331, PCE333",None
PCH232,Pharmaceutical Chemistry 232,Year 2,Bachelor of Pharmacy 3305 ,"CHE114, CHE124, PCH233/ (min 40% in PCH233 ",None
PCH233,Pharmaceutical Chemistry 233,Year 2,Bachelor of Pharmacy 3305 ,"CHE114, CHE124",None
PCH312,Pharmaceutical Chemistry 312,Year 3,Bachelor of Pharmacy 3305 ,"PCH232, PCH233, BTN216",None
PCH322,Pharmaceutical Chemistry 322,Year 3,Bachelor of Pharmacy 3305 ,"PCH232, PCH233, PCH312/ (min 40% in PCH312 ",None
PCH402,Pharmaceutical Chemistry 402,Year 4,Bachelor of Pharmacy 3305 ,"PCH312, PCH322",None
PHA116,Pharmacy 116,Year 1,Bachelor of Pharmacy 3305 ,None,None
PHA408,Pharmacy 408,Year 4,Bachelor of Pharmacy 3305 ,"PCE331, PCE333, PCH312, PCH322, PHC313, PHC323, PPR314, PPR324",None
PHA426,Pharmacy 426,Year 4,Bachelor of Pharmacy 3305 ,None,None
PHA427,Community Engagement 427,Year 4,Bachelor of Pharmacy 3305 ,"PCH312, PCH322, PCE331, PCE333",None
PHC123,Pharmacology and Clinical Pharmacy 123,Year 1,Bachelor of Pharmacy 3305 ,HUB123,None
PHC213,Pharmacology and Clinical Pharmacy 213,Year 2,Bachelor of Pharmacy 3305 ,"PHC123, HUB113, HUB123, PHA116",None
PHC223,Pharmacology and Clinical Pharmacy 223,Year 2,Bachelor of Pharmacy 3305 ,"HUB113, HUB123, PHC123, PHA116/ (min 40% for PHC213 ",None
PHC313,Pharmacology and Clinical Pharmacy 313,Year 3,Bachelor of Pharmacy 3305 ,"PHC213, PHC223",None
PHC323,Pharmacology and Clinical Pharmacy 323,Year 3,Bachelor of Pharmacy 3305 ,"PHC213, PHC223, PHC313/ (min 40% for PHC313 ",None
PHC403,Pharmacology and Clinical Pharmacy 403,Year 4,Bachelor of Pharmacy 3305 ,"PHC313, PHC323",None
PHC405,Pharmacology and Clinical Pharmacy 405,Year 4,Bachelor of Pharmacy 3305 ,"PCE331, PCE333, PCH312, PCH322, PHC313, PHC323, PPR314, PPR324",None
PHC423,Pharmacology and Clinical Pharmacy 423,Year 4,Bachelor of Pharmacy 3305 ,"PHC313, PHC323, PPR314, PPR324",None
PHC424,Global Pharmacy 424,Year 4,Bachelor of Pharmacy 3305 ,Determined by home university,None
PHC425,Rational Medicine Use 425,Year 4,Bachelor of Pharmacy 3305 ,"PHC323, PPR324",None
PHC426,Paediatrics for Pharmacists 426,Year 4,Bachelor of Pharmacy 3305 ,"PHC313, PHC323",None
PHY111,Physics 111,Year 1,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",None,MAT103 or MAT105
PHY112,Physics 112,Year 1,Bachelor of Pharmacy 3305 ,None,None
PHY116,Physics 116,Year 1,"BSc Applied Geology 3214 ,BSc Biotechnology 3211 ,BSc Environment and Water Science 3331 ,BSc Mathematics and Statistical Sciences 3227 ",None,None
PHY121,Physics 121,Year 1,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",None,MAT103 or MAT105
PHY126,Physics 126,Year 1,"BSc Applied Geology 3214 ,BSc Biotechnology 3211 ,BSc Environment and Water Science 3331 ,BSc Mathematics and Statistical Sciences 3227 ",None,None
PHY151,Physics 151 (SF ,Year 1,BSc Applied Geology Extended 3011 ,None,MAM151
PHY152,Physics 152 (SF ,Year 2,BSc Applied Geology Extended 3011 ,None,None
PHY212,Physics 212,Year 2,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",PHY111/121 OR PHY151/152,MAT211/104/152
PHY217,Physics 217,Year 2,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Environment and Water Science 3331 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",None,None
PHY222,Physics 222,Year 2,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",PHY111/121 OR PHY151/152 AND MAT105/103/152,None
PHY227,Physics 227,Year 2,"BSc Chemical Sciences 3220 ,BSc Computer Science 3221 ,BSc Environment and Water Science 3331 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",PHY116/126 OR PHY111/151,None
PHY314,Physics 314,Year 3,"BSc Computer Science 3221 ,BSc Physical Science 3233 ","PHY212, PHY222, MAT211, MAT221",None
PHY317,Physics 317,Year 3,"BSc Computer Science 3221 ,BSc Physical Science 3233 ",PHY227,None
PHY324,Physics 324,Year 3,"BSc Computer Science 3221 ,BSc Physical Science 3233 ","PHY212, PHY222, MAT211, MAT221",None
PHY327,Physics 327,Year 3,"BSc Computer Science 3221 ,BSc Physical Science 3233 ","PHY212/217, MAT105/103/152",None
PPR214,Pharmacy Practice 214,Year 2,Bachelor of Pharmacy 3305 ,"PHA116, PHC123",None
PPR224,Pharmacy Practice 224,Year 2,Bachelor of Pharmacy 3305 ,"PCE231, PHC213, PPR214/ (min 40% in each ",PHC223
PPR314,Pharmacy Practice 314,Year 3,Bachelor of Pharmacy 3305 ,"PPR214, PPR224",None
PPR324,Pharmacy Practice 324,Year 3,Bachelor of Pharmacy 3305 ,"PPR214, PPR224, PPR314 (min 40% ",None
PPR404,Pharmacy Practice 404,Year 4,Bachelor of Pharmacy 3305 ,"PPR314, PPR324",None
PPR414,Pharmacy Practice 414,Year 4,Bachelor of Pharmacy 3305 ,"PPR314, PPR324",None
PPR434,Pharmacy Practice 434,Year 4,Bachelor of Pharmacy 3305 ,"PPR314, PPR324",None
STA111,Statistics 111,Year 1,"BSc Biodiversity 3217 ,BSc Computer Science 3221 ,BSc Environment and Water Science 3331 ,BSc Mathematics and Statistical Sciences 3227 ",None,None
STA121,Statistics 121,Year 1,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ",None,STA111/125/151 (or equivalent 
STA125,Statistics 125,Year 1,"BSc Biodiversity 3217 ,BSc Biotechnology 3211 ,BSc Environment and Water Science 3331 ,BSc Medical Bioscience 3230 ",None,None
STA151,Statistics 151 (SF ,Year 1,BSc Biodiversity Extended 3015 ,None,None
STA211,Statistics 211,Year 2,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ",MAT105 (or equivalent AND STA111/125/151,None
STA221,Statistics 221,Year 2,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ",STA211 (qualified for exam ,None
STA331,Statistics 331,Year 3,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ","STA211, STA221",None
STA332,Statistics 332,Year 3,"BSc Computer Science 3221 ,BSc Mathematics and Statistical Sciences 3227 ","STA211, STA221",None
STC101,Statistics 101,Year 1, General Science Elective ,None,None
